,technique_id,is_subtechnique,technique,tactic,platform,data_source,data_component,relationship_id,name,source,relationship,target,event_id,event_name,event_platform,audit_category,audit_sub_category,channel,log_source,filter_in,event_identity,source_identity
0,T1622,False,debugger evasion,"defense-evasion, discovery","Windows, Linux, macOS",process,os api execution,REL-2022-0150,Process executed Api call,process,executed,api call,8,createremotethread.,windows,CreateRemoteThread,,microsoft-windows-sysmon/operational,microsoft-windows-sysmon,,windows|microsoft-windows-sysmon|8|createremotethread.,windows|process|os api execution
1,T1622,False,debugger evasion,"defense-evasion, discovery","Windows, Linux, macOS",process,os api execution,REL-2022-0150,Process executed Api call,process,executed,api call,DeviceEvents,deviceevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""CreateRemoteThreadApiCall""}",windows|microsoft defender for endpoint|DeviceEvents|deviceevents,windows|process|os api execution
2,T1622,False,debugger evasion,"defense-evasion, discovery","Windows, Linux, macOS",process,process creation,REL-2022-0146,User created Process,user,created,process,4688,a new process has been created.,windows,Detailed Tracking,Process Creation,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4688|a new process has been created.,windows|process|process creation
3,T1622,False,debugger evasion,"defense-evasion, discovery","Windows, Linux, macOS",process,process creation,REL-2022-0146,User created Process,user,created,process,1,process creation.,windows,ProcessCreate,,microsoft-windows-sysmon/operational,microsoft-windows-sysmon,,windows|microsoft-windows-sysmon|1|process creation.,windows|process|process creation
4,T1622,False,debugger evasion,"defense-evasion, discovery","Windows, Linux, macOS",process,process creation,REL-2022-0146,User created Process,user,created,process,1,process creation.,linux,ProcessCreate,,,sysmon,,linux|sysmon|1|process creation.,linux|process|process creation
5,T1622,False,debugger evasion,"defense-evasion, discovery","Windows, Linux, macOS",process,process creation,REL-2022-0146,User created Process,user,created,process,DeviceProcessEvents,deviceprocessevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""ProcessCreated""}",windows|microsoft defender for endpoint|DeviceProcessEvents|deviceprocessevents,windows|process|process creation
6,T1622,False,debugger evasion,"defense-evasion, discovery","Windows, Linux, macOS",process,process creation,REL-2022-0153,Process created Thread,process,created,thread,8,createremotethread.,windows,CreateRemoteThread,,microsoft-windows-sysmon/operational,microsoft-windows-sysmon,,windows|microsoft-windows-sysmon|8|createremotethread.,windows|process|process creation
7,T1622,False,debugger evasion,"defense-evasion, discovery","Windows, Linux, macOS",process,process creation,REL-2022-0153,Process created Thread,process,created,thread,DeviceEvents,deviceevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""CreateRemoteThreadApiCall""}",windows|microsoft defender for endpoint|DeviceEvents|deviceevents,windows|process|process creation
8,T1622,False,debugger evasion,"defense-evasion, discovery","Windows, Linux, macOS",process,process creation,REL-2022-0175,Process created Process,process,created,process,4688,a new process has been created.,windows,Detailed Tracking,Process Creation,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4688|a new process has been created.,windows|process|process creation
9,T1622,False,debugger evasion,"defense-evasion, discovery","Windows, Linux, macOS",process,process creation,REL-2022-0175,Process created Process,process,created,process,1,process creation.,windows,ProcessCreate,,microsoft-windows-sysmon/operational,microsoft-windows-sysmon,,windows|microsoft-windows-sysmon|1|process creation.,windows|process|process creation
